"REST Service","E -900000000","Invalid request. Please correct and resend the request.","User tries to submit the REST request providing an invalid request data"
"2nd Chargeback","E-121003129","2nd Chargeback summary data is only supported for POS Check transactions..","User attempts to submit a Pre-Arbitration/Arbitration from BulkSI/RTSI on a card transaction with second chargeback data."
"2nd Chargeback","E-121003130","A 2nd Chargeback is not allowed for this network/transaction combination.","User attempts to pend/submit for review/submit a second chargeback when this is not supported."
,"E-121003133","One of the elements - MerchantRefusedReturnAuthInd, MerchantRefusedReturnedMerchandiseInd, MerchantInformedCardholderNotToReturnInd must be true if MerchantReturnRefusalInd is Y","User has supplied invalid value for one of the specified fields"
,"E-121003999","Invalid format for XML element CardholderNotificationDate","Please correct the XML element and resend the case"
"XML Format Validation - Pre-filing","E-121004000","Invalid format for XML element FirstChargebackCPD","Please correct the XML element and resend the case"
"XML Format Validation - Pre-filing","E-121004001","Invalid format for XML element FirstChargebackDisputeAmount","Please correct the XML element and resend the case"
"XML Format Validation - Pre-filing","E-121004002","Invalid format for XML element FirstChargebackDisputeReasonCode","Please correct the XML element and resend the case"
"XML Format Validation - Pre-filing","E-121004003","Invalid format for XML element FirstChargebackModInd","Please correct the XML element and resend the case"
"XML Format Validation - Pre-filing","E-121004005","Invalid format for XML element RepresentmentCPD","Please correct the XML element and resend the case"
"XML Format Validation - Pre-filing","E-121004006","Invalid format for XML element RepresentmentDisputeAmount","Please correct the XML element and resend the case"
"XML Format Validation - Pre-filing","E-121004007","Invalid format for XML element RepresentmentDisputeReasonCode ","Please correct the XML element and resend the case"
"XML Format Validation - Pre-filing","E-121004008","Invalid format for XML element RepresentmentModInd","Please correct the XML element and resend the case"
"XML Format Validation - Pre-filing","E-121004009","Invalid format for XML element RetrievalRequestDate","Please correct the XML element and resend the case"
"XML Format Validation - Pre-filing","E-121004010","Invalid format for XML element RetrievalRequestReasonCode","Please correct the XML element and resend the case"
"XML Format Validation - Pre-filing","E-121004011","Invalid format for XML element SecondChargebackCPD","Please correct the XML element and resend the case"
"XML Format Validation - Pre-filing","E-121004012","Invalid format for XML element SecondChargebackDisputeAmount","Please correct the XML element and resend the case"
"XML Format Validation - Pre-filing","E-121004013","Invalid format for XML element SecondChargebackDisputeReasonCode","Please correct the XML element and resend the case"
"XML Format Validation - Pre-filing","E-121004014","Invalid format for XML element SecondChargebackModInd","Please correct the XML element and resend the case"
"XML Format Validation - Pre-filing","E-121004015","Invalid format for XML element SecondFirstChargebackCPD","Please correct the XML element and resend the case"
"XML Format Validation - Pre-filing","E-121004016","Invalid format for XML element SecondFirstChargebackDisputeAmount","Please correct the XML element and resend the case"
"XML Format Validation - Pre-filing","E-121004017","Invalid format for XML element SecondFirstChargebackDisputeReasonCode","Please correct the XML element and resend the case"
"XML Format Validation - Pre-filing","E-121004018","Invalid format for XML element SecondFirstChargebackModInd","Please correct the XML element and resend the case"
"XML Format Validation - Pre-filing","E-121004019","Invalid format for XML element SecondRepresentmentCPD","Please correct the XML element and resend the case"
"XML Format Validation - Pre-filing","E-121004020","Invalid format for XML element SecondRepresentmentDisputeAmount","Please correct the XML element and resend the case"
"XML Format Validation - Pre-filing","E-121004021","Invalid format for XML element SecondRepresentmentDisputeReasonCode","Please correct the XML element and resend the case"
"XML Format Validation - Pre-filing","E-121004022","Invalid format for XML element SecondRepresentmentModInd","Please correct the XML element and resend the case"
"XML Format Validation - Pre-filing","E-121004023","Invalid format for XML element ChangeExplanation","Please correct the XML element and resend the case"
"XML Format Validation - Pre-filing","E-121004024","Invalid format for XML element ChangeReasonCodeInd","Please correct the XML element and resend the case"
"XML Format Validation - Pre-filing","E-121004025","Invalid format for XML element NewInformationDescription","Please correct the XML element and resend the case"
"XML Format Validation - Pre-filing","E-121004026","Invalid format for XML element AcceptanceAmount","Please correct the XML element and resend the case"
"XML Format Validation - Pre-filing","E-121004027","Invalid format for XML element ContinuePreFilingReason","Please correct the XML element and resend the case"
"XML Format Validation - Pre-filing","E-121004028","Invalid format for XML element HowAmountSent","Please correct the XML element and resend the case"
"XML Format Validation - Pre-filing","E-121004029","Invalid format for XML element PartialAcceptanceReason","Please correct the XML element and resend the case"
"XML Format Validation - Pre-filing","E-121004030","Invalid format for XML element ResponseCode","Please correct the XML element and resend the case"
"XML Format Validation - Pre-filing","E-121004031","Invalid format for XML element WhenAmountSentDate","Please correct the XML element and resend the case"
"Questionnaire - TranHeader","E-121004032","TranDestAmt is too large.","XML element “TranDestAmt” is too large.  Please correct and resend the case."
"Pre-Arbitration","E-121004033","Invalid RetrievalRequestReasonCode","Member has provided an invalid reason code.  Please correct and resend the case."
"Multiple","E-121004034","Invalid FirstChargebackDisputeReasonCode","Member has provided an invalid reason code.  Please correct and resend the case."
"Multiple","E-121004035","Invalid SecondFirstChargebackDisputeReasonCode","Member has provided an invalid reason code.  Please correct and resend the case."
"Multiple","E-121004036","Invalid RepresentmentDisputeReasonCode","Member has provided an invalid reason code.  Please correct and resend the case."
"Pre-Arbitration","E-121004037","Invalid SecondRepresentmentDisputeReasonCode","Member has provided an invalid reason code.  Please correct and resend the case."
"Pre-Arbitration","E-121004038","Invalid SecondChargebackDisputeReasonCode","Member has provided an invalid reason code.  Please correct and resend the case."
"Questionnaire - General","E-121004039","Questionnaires with the pre-October 2, 2004 DisputeRuleSetCode values (UC and IC) are no longer accepted, since their dispute timeframes have expired.","Member has supplied a value for  DisputeRuleSetCode that is no longer valid.  Please correct and resend the case"
